C;BPT;Category;ITC;Name;Transliterated-Name;Abbr;TAbbr;Format
AT;L;NBR;AT_FBN;Firmenbuchnummer;;FBN;;^\d{1,6}[a-z]$
AT;L;VAT;AT_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^ATU\d{7}\d{1}$
BE;L;NBR;BE_OND;Ondernemingsnummer / Numéro d'entreprise;Ondernemingsnummer / Numero d'entreprise;OND-(nummer) / (numéro) ENT;OND-(nummer) / (numero) ENT;^[0,1]{1}\d{3}\d{3}\d{1}\d{2}$
BE;L;VAT;BE_BTW;Belasting over de toegevoegde waarde nummer / Numéro de taxe sur la valeur ajoutée;Belasting over de toegevoegde waarde nummer / Numero de taxe sur la valeur ajoutee;BTW(-nummer) / (numéro) TVA;BTW(-nummer) / (numero) TVA;^[0,1]\d{3}\d{3}\d{1}\d{2}$
BE;L;VAT;BE_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^BE[0,1]\d{3}\d{3}\d{1}\d{2}$
BG;L;NBR;BG_EIK;Единен идентификационен код;Edinen identifikatsionen kod;ЕИК;EIK;^\d{8,9}(\d{1})?$
BG;L;VAT;BG_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^BG\d{8,9}(\d{1})?$
CH;L;NBR/TIN;CH_UID;Unternehmens-Identifikationsnummer;;UID;;^CHE-\d{3}\.\d{3}\.\d{3}$
CH;L;NBR;CH_EHRA_ID;Eidgenössisches Handelsregisteramt-Identifikationsnummer;Eidgenossisches Handelsregisteramt-Identifikationsnummer;EHRA-ID;;^\d{6}$
CH;L;VAT;CH_UID_MWST;Unternehmens-Identifikationsnummer (Mehrwertsteuer);;UID MWSt.;;^CHE-\d{3}\.\d{3}\.\d{3}\s(MWST|TVA|IPA)$
CY;L;NBR;CY_AEE;Αριθμός Εγγραφής στο Τμήμα Εφόρου Εταιρειών;Arithmos Engrafis sto Tmima Eforou Etairion;AEE;;^[A-Z]{1,2}\d{1,8}$
CY;L;TIN;CY_AFT;Αριθμός φορολογικής ταυτότητας;Arithmos forologikis tautotitas;ΑΦΤ;AFT;^[013945]{1}\d{7}[A-Z]{1}$
CY;L;VAT;CY_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^CY[013945]{1}\d{7}[A-Z]{1}$
CZ;L;NBR;CZ_ICO;Identifikační číslo osoby;Identifikacni cislo osoby;IČO;ICO;^[1-9]{1}\d{6,8}\d{1}$
CZ;L;TIN;CZ_DIC;Daňové identifikační číslo;Danove identifikacni cislo;DIČ;DIC;^[1-9]{1}\d{6,8}\d{1}$
CZ;L;VAT;CZ_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^CZ[1-9]{1}\d{6,8}\d{1}$
DE;L;NBR;DE_HR;Handelsregisternummer;;HR(-nummer);;^([BDFGHKMNPRTUVWXY]{1}\d{1,4}[VR]?\.)?((HRA)|(G(n|N)R)|(HRB)|(PR)|(VR)|(G(s|S)R))[1-9]{1}[A-Z0-9]{1,5}$
DE;L;VAT;DE_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^DE\d{8}\d{1}(-\d{5})?$
DK;L;NBR;DK_CVR;Centrale Virksomhedsregister Nummer;;CVR(-nummer);;^\d{7}\d{1}$
DK;L;VAT;DK_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^DK\d{7}\d{1}$
EE;L;NBR;EE_RG;Äriregistri kood;Ariregistri kood;RG(-kood);;^\d{8}$
EE;L;VAT;EE_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^EE\d{8}\d{1}$
ES;L;NBR;ES_RM;Número de inscripción en el registro mercantil;Numero de inscripcion en el registro mercantil.;(número) RM;(numero) RM;^\d{8}$
ES;L;TIN;ES_NIF;Número de identificación fiscal (fka Código de identificación fiscal);Numero de identificacion fiscal (fka Codigo de identificacion fiscal);NIF;;^[A-HJ-NP-SUVW]{1}\d{2}\d{5}[A-Z0-9]{1}$
ES;L;VAT;ES_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^ES[A-HJ-NP-SUVW]{1}\d{2}\d{5}[A-Z0-9]{1}$ 
FI;L;NBR;FI_Y;Yritys- ja yhteisötunnus;Yritys- ja yhteisotunnus;Y(-tunnus);;^\d{7}-\d{1}$
FI;L;VAT;FI_EU_VAT_ID;European Union Value-added Tax Identification Number;;EU VAT ID (number);;^FI\d{7}\d{1}$
FR;L;NBR;FR_SIREN;Numéro des système d'identification du répertoire des entreprises;Numero du systeme d'identification du repertoire des entreprises;(numéro) SIREN;(numero) SIREN;^\d{8}\d{1}$
